disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1473,4499,9679012.66,4961914.5,4717098.16,1509996.41,144601.1,1291674.65,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,895330,c2dd6af5a3bc4beb4727aaac05d92e33da2bc5b0,2023-10-30T05:22:57.890Z,d5f8d9a6-761c-465c-b3db-d6f3fa78e8e2
2306,,,,,646465.83,646465.83,,2023-10-30T00:00:00.000Z,,,d33b927ce758cc74c3ffd4349a87e2d7223617f1,2023-10-30T04:22:46.792Z,54f0fddf-fae1-4fce-9834-05c924409dab
1474,3559,10877948.83,8093288.65,2784660.18,4833478.25,992958.11,3853581.36,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,842726,fb76ff0df80ef2d46c6b6e72393b9df35466740d,2023-10-30T05:22:57.890Z,e4f7d739-7be1-4ad4-b48c-1e92f240bb65
2307,,,,,263418.75,263418.75,,2023-10-30T00:00:00.000Z,,,d003b9160f18b1a2fb3895f0827f055f44607e0a,2023-10-30T04:22:46.792Z,60e7436d-f04e-4fa9-bdb9-b0c81d866361
1475,2558,6621705.06,4682638.07,1939066.99,8904595.58,484092.83,8367825.54,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,781278,95ac7d789bb0003953c6ee1f635a0662ebadf765,2023-10-30T05:22:57.890Z,8027af66-1100-41e0-b030-19b60eee1285
1476,4409,13386838.38,9783608.01,3603230.37,6936604.6,2782537.86,4200530.19,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,1493653,6d591465500d3ec6273a99cba5b98315d76f0767,2023-10-30T05:22:57.890Z,8c36a968-8477-422f-bd56-120ac2632893
2308,,,,,1090377.3,1090377.3,,2023-10-30T00:00:00.000Z,,,8f5539b818ccc1661b8b16f7b1fef4d67e42b7c2,2023-10-30T04:22:46.792Z,24feeaa8-e692-42a2-b76d-8f442e39d91d
2309,,,,,3209125.2,3209125.2,,2023-10-30T00:00:00.000Z,,,8b0ab64b6c49f375fe3cf7dd8ee719fd73f12f0f,2023-10-30T04:22:46.792Z,4680ad7f-2334-4ad4-b90b-8daa099b7164
1478,758,1980992.81,1468511.02,512481.79,,,,,2023-10-30T00:00:00.000Z,32689,cb747f0877528594eafeb0ccbee61032cd1d6a1e,2023-10-30T05:22:57.890Z,6108c226-1c41-4f02-a0f6-7d6248c020e6
2310,,,,,261748.94,261748.94,,2023-10-30T00:00:00.000Z,,,12edc9a2bbbfc6d0c807956ea7bd51d0061c6884,2023-10-30T04:22:46.792Z,2676a781-df26-4fc5-8085-ed1284745ff4
2313,,,,,1829514.81,1829514.81,,2023-10-30T00:00:00.000Z,,,89fe5922a3f9e880aea2223568ee4a59e54242d7,2023-10-30T04:22:46.792Z,0fe09cb3-99b8-44ae-a6e3-01dd5456fc1c
2176,,,,,,,,,,,62014038f6c34303aebb4d032daed38c804739b2,2023-03-18T13:22:12.883Z,3552022f-711e-488f-a1c5-3df994519a30
2314,,,,,23568300.14,23568300.14,,2023-10-30T00:00:00.000Z,,,4891a4d1c0c34092f0fce9be4a819183db452161,2023-10-30T04:22:46.792Z,86afddb7-5079-4e53-9ef9-03575860eabb
2178,,,,,,,,,,,d8933a217c5e3a86455b21cf54b4a78a789ad08c,2023-03-18T13:22:12.883Z,25db4e0d-10ab-4a5f-acdd-9e9f1c1af961
1479,8552,20213296.06,11924830.34,8288465.72,17889243.31,4631163.81,13121953.46,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,1577925,968c77ab801d3629fe98d873b359cf46e57631fe,2023-10-30T05:22:57.890Z,00c558c7-8e36-495f-982c-06b9f4fedc5a
1482,19150,20592021.41,5813443.59,14778577.82,35430275.15,13078927.79,22317471.37,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,2920980,02d867c52476c0c0b261fe4d73056337e70cb363,2023-10-30T05:22:57.890Z,a8cc4e74-4e44-404a-907f-e0ad579e65bb
1484,46108,74778371.61,36715451.25,38062920.36,10875976.79,1583993.66,9322353.13,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,4328378,8fe07ebc17cd561aa6f2d2b3962be521ab592f3d,2023-10-30T05:22:57.890Z,fad73e3d-d3c3-4154-837a-691863dc3963
2315,,,,,485186.01,485186.01,,2023-10-30T00:00:00.000Z,,,194bf57c3761fcdf7e935a6ae8c76436475f4862,2023-10-30T04:22:46.792Z,edda75d1-005a-4fc6-94e7-8939388e394c
2316,,,,,21098.16,21098.16,,2023-10-30T00:00:00.000Z,,,54f6ef6ceab299c6fbe16476b1139a20d2519b20,2023-10-30T04:22:46.792Z,1d7dfc91-389e-40f6-95a2-94f7676f7c4d
2317,,,,,13633895.1,13633895.1,,2023-10-30T00:00:00.000Z,,,ebad0edcea3b7c2c9656e6f2e183bcbfb0343c85,2023-10-30T04:22:46.792Z,97a2078c-0854-4a9b-9afa-8228aa636ec4
2190,,,,,,,,,,,30f4fd70ffe46538744da6243850d92b944161ca,2023-03-18T13:22:12.883Z,aae211f3-17b2-45cb-ac13-fb1a2cd94b38
2191,,,,,,,,,,,9f6f6f477badea8769f3aae6e7cefa7995234e5a,2023-03-18T13:22:12.883Z,65b311c9-b8f9-468b-a979-b01b3d31a5db
2192,,,,,,,,,,,060df8ef7cd18de1cbea4ddf9366fb0dc6b4ee80,2023-03-18T13:22:12.883Z,035d977c-db80-4a2c-a7b4-0cfea876fae5
2318,,,,,138208,138208,,2023-10-30T00:00:00.000Z,,,002649894a20465400fcb13133aa0d8f13a2a384,2023-10-30T04:22:46.792Z,6e00be11-a952-4478-875b-9fcb737f6ced
2195,,,,,,,,,,,433bc3c9ab3576b8968a9fec3a45d31daef9239d,2023-03-18T13:22:12.883Z,468bdcba-f5f2-4b99-8b65-60472d2685bb
2196,,,,,,,,,,,a34541cdc842c1c1586ce0cef0fc4d3995108687,2023-03-18T13:22:12.883Z,4dc08b54-d349-4532-975a-2ad0549f695e
2197,,,,,,,,,,,c1123768eacc9db9a3b5445a6de40f1349e16a26,2023-03-18T13:22:12.883Z,d8a5b02b-3b97-4ae3-b17b-2a89221ba0f8
2198,,,,,,,,,,,ce6e64faf820fe8ea4b5428b7a5ff86b86781bf8,2023-03-18T13:22:12.883Z,9021236b-3177-4037-ba0c-48ecbcadf15c
2319,,,,,1050617.89,1050617.89,,2023-10-30T00:00:00.000Z,,,459b03554f4b46db70adee050d747ee995665cd9,2023-10-30T04:22:46.792Z,eb89131a-0bc4-40cd-98f1-b64a945035fb
2200,,,,,,,,,,,873e1186416e1086f7b0dab188e9d280d4a20d4d,2023-03-18T13:22:12.883Z,2ac0f039-e258-4297-ab21-0f0c6603cdaa
2320,,,,,5514048.11,5514048.11,,2023-10-30T00:00:00.000Z,,,dd625141b1004cb13b8925753f9678f995faf3d9,2023-10-30T04:22:46.792Z,5199d2da-c07d-489e-95b1-495f76ca20a6
2321,,,,,18783,18783,,2023-10-30T00:00:00.000Z,,,9c5b093b4a00bf01c447181f225aed627d46b632,2023-10-30T04:22:46.792Z,e6860b05-e143-4c1c-9ed9-a0f01983397a
2203,,,,,,,,,,,e5a4c267e247a2d6c43e0503d0e654d94e8394f2,2023-03-18T13:22:12.883Z,0d6ff587-8ff3-4f0a-bb50-45cacac5edfe
2204,,,,,,,,,,,db82463972d927df0e275a5d81dcb1346a8f0e7a,2023-03-18T13:22:12.883Z,16d03544-fe0c-4c25-9693-820061ac2336
2205,,,,,,,,,,,0e1e36490848d787c2b4bb4f3f658c8b651bf932,2023-03-18T13:22:12.883Z,01145322-a2c5-441c-81b7-21db4661ba44
2206,,,,,,,,,,,fdef688e9d321d2bd1f301fcd48e45f0cae973fc,2023-03-18T13:22:12.883Z,c2cd020d-a8e1-4bed-a2d8-10be36aecb8e
2322,,,,,3684844.28,3684844.28,,2023-10-30T00:00:00.000Z,,,9f62aa389a7b544a383c4ce301fc6828add62eef,2023-10-30T04:22:46.792Z,6adf7c13-a3b5-4621-8e52-479f3be074af
2207,,,,,,,,,,,336d3511963f4b4e402cf6d1d6b00e638ac28966,2023-03-18T13:22:12.883Z,97720143-ea70-4a8c-bfaa-ccb34c96701b
2208,,,,,,,,,,,24cc5b7030f341e8eedaaa448ff0c7320cd781c6,2023-03-18T13:22:12.883Z,4bf76fce-3aeb-43e6-a9a9-8b5f997a131b
2209,,,,,,,,,,,aaf91172f8a65f1527bc55c2cdbaf8d546764ad6,2023-03-18T13:22:12.883Z,5a187740-92f4-403a-82ac-141ad02894b2
3599,,,,,,,,,,,af9341b39a7eb9954e104468b533e4fcc49ec268,2023-09-16T23:02:38.418Z,041a7902-f024-44a1-a7f3-34b6c0b097e7
2211,,,,,,,,,,,ea9712ab0060715de4a242873112901688d137b8,2023-03-18T13:22:12.883Z,4387a219-fa1f-46f5-bc29-745167dd03a1
2212,,,,,,,,,,,4ae9ae2ae778892a3b6d816305275f025f01d0ca,2023-03-18T13:22:12.883Z,3e341364-441f-4603-8026-35efb0b69840
2323,,,,,925982.68,925982.68,,2023-10-30T00:00:00.000Z,,,84a8f1c837d3a6256f9c687b31f860893f97d473,2023-10-30T04:22:46.792Z,6dd8cd35-e971-4b47-8150-f829f51ac5ce
2214,,,,,,,,,,,98816fe176986ae986099d2514f9da3acd45e55a,2023-03-18T13:22:12.883Z,236b90d9-b8ac-4751-a8e5-01e04bbc06a0
2215,,,,,,,,,,,e9bf9656f2410c19ef12a3ae87fea55edfa63356,2023-03-18T13:22:12.883Z,08e791fc-2f29-4cde-a566-421062dda6e1
2324,,,,,2496378.6,2496378.6,,2023-10-30T00:00:00.000Z,,,29aea00480f238f19588be78845f427c7b2e5585,2023-10-30T04:22:46.792Z,84c9fd0d-017c-4e79-829f-337edcb84df8
2325,,,,,185207.38,185207.38,,2023-10-30T00:00:00.000Z,,,298a2792f097a63cfc8d52eebfb18467e305bd52,2023-10-30T04:22:46.792Z,560e0cc6-8fd3-49e5-adf7-b02872761eb4
1485,1155,2965355.19,2462966.1,502389.09,28586080.4,1355369.03,27283122.91,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,2110767,1f0ca40ce94b6e16c4914b4ee05e4e156e5e1c74,2023-10-30T05:22:57.890Z,b9d3abc1-c0e6-49e2-ac8b-5ce5a8fa2761
2326,,,,,70842,70842,,2023-10-30T00:00:00.000Z,,,3d915cfd112f25804beec7e37a487852fd3296b6,2023-10-30T04:22:46.792Z,9bb52136-a854-4525-8073-9a20215db8ce
2327,,,,,871692.4,871692.4,,2023-10-30T00:00:00.000Z,,,a4d026ed2277c77ebba48b145ddd1db921ea811a,2023-10-30T04:22:46.792Z,9e55b107-2f9f-4a09-9060-08bdbccf5f34
2328,,,,,1457745.93,1457745.93,,2023-10-30T00:00:00.000Z,,,a294340747fcfdfb5ca815a5a4765c944efd011e,2023-10-30T04:22:46.792Z,a84c189a-ad4a-4904-913c-a426e0f51b22
2329,,,,,422314.25,422314.25,,2023-10-30T00:00:00.000Z,,,cc6424867d63cd982ff7277666dcc8e2d145fc94,2023-10-30T04:22:46.792Z,c94f7148-b076-4e4d-9b38-b3dab46d4a3d
1486,901,1792438.3,1551072.1,241366.2,23721241.42,1428016.65,21731225.98,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,1453627,452ca5179d13474170bc2ae4821edeb4273c3398,2023-10-30T05:22:57.890Z,f0c4fb12-92e8-47e9-b002-efb08bc0d2dd
1487,2972,8231038.84,6576154.9,1654883.94,,,,,2023-10-30T00:00:00.000Z,697502,1e9022a1e4119bdc4b168dd9e78e4a4f97207467,2023-10-30T05:22:57.890Z,45de0db1-526d-44e5-99b3-58bced4f938f
